11:05:38.912 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
11:05:38.921 [main] INFO  org.springframework.web.context.support.AnnotationConfigWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Dec 18 11:05:38 CST 2013]; root of context hierarchy
11:05:39.101 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:05:39.103 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:05:39.103 [main] INFO  org.springframework.web.context.support.AnnotationConfigWebApplicationContext - Registering annotated classes: [class cn.halen.data.DataConfig,class cn.halen.service.ServiceConfig,class cn.halen.filter.FilterConfig,class cn.halen.data.redis.RedisConfig]
11:05:39.258 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:05:39.258 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:05:39.483 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:05:39.484 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:05:39.567 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:05:39.567 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:05:39.575 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning
11:05:39.575 [main] INFO  org.springframework.context.annotation.ClassPathBeanDefinitionScanner - JSR-330 'javax.inject.Named' annotation found and supported for component scanning
11:05:39.668 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [config.xml]
11:05:40.022 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [security.xml]
11:05:40.136 [main] INFO  org.springframework.security.core.SpringSecurityCoreVersion - You are running with Spring Security Core 3.1.3.RELEASE
11:05:40.137 [main] INFO  org.springframework.security.config.SecurityNamespaceHandler - Spring Security 'config' module version is 3.1.3.RELEASE
11:05:40.216 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('manager_system_action')' for /admin/action/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('manager_system')' for /admin/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasAnyRole('buy_goods', 'manager_trade')' for /trade/action/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('logined')' for /trade/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('manager_goods')' for /goods/action/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('logined')' for /goods/**
11:05:40.217 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('accounting')' for /accounting/**
11:05:40.218 [main] INFO  org.springframework.security.config.http.FilterInvocationSecurityMetadataSourceParser - Creating access control expression attribute 'hasRole('logined')' for /**
